LB-9106 : remote HMI 7 status,Local HMI,LB,9106,,16-bit Unsigned,Supported
LB-9107 : remote HMI 8 status,Local HMI,LB,9107,,16-bit Unsigned,Supported
LB-9148 : remote HMI 49 status,Local HMI,LB,9148,,16-bit Unsigned,Supported
LB-9149 : forced to reconnect remote HMI when IP changed on-line (set ON),Local HMI,LB,9149,,16-bit Unsigned,Supported
LB-9150 : auto. connection for device 1 (COM 1) (when ON),Local HMI,LB,9150,,16-bit Unsigned,Supported
LB-9151 : auto. connection for device 2 (COM 2) (when ON),Local HMI,LB,9151,,16-bit Unsigned,Supported
LB-9152 : auto. connection for device 3 (COM 3) (when ON),Local HMI,LB,9152,,16-bit Unsigned,Supported
LB-9153 : auto. connection for device 4 (ethernet) (when ON),Local HMI,LB,9153,,16-bit Unsigned,Supported
LB-9154 : auto. connection for device 5 (ethernet) (when ON),Local HMI,LB,9154,,16-bit Unsigned,Supported
LB-9155 : auto. connection for device 6 (ethernet) (when ON),Local HMI,LB,9155,,16-bit Unsigned,Supported
LB-9156 : auto. connection for device 7 (ethernet) (when ON),Local HMI,LB,9156,,16-bit Unsigned,Supported
LB-9157 : auto. connection for device 8 (ethernet) (when ON),Local HMI,LB,9157,,16-bit Unsigned,Supported
LB-9158 : auto. connection for device 9 (ethernet) (when ON),Local HMI,LB,9158,,16-bit Unsigned,Supported
LB-9189 : auto. connection for device 40 (ethernet) (when ON),Local HMI,LB,9189,,16-bit Unsigned,Supported
LB-9190 : auto. connection for device (USB) (when ON),Local HMI,LB,9190,,16-bit Unsigned,Supported
"LB-9191 : device status (USB), set on to retry connection",Local HMI,LB,9191,,16-bit Unsigned,Supported
"LB-9192 : disable USB device's ""Device No Response"" dialog (when ON)",Local HMI,LB,9192,,16-bit Unsigned,Supported
LB-9196 : local HMI supports monitor function only (when ON),Local HMI,LB,9196,,16-bit Unsigned,Supported
LB-9197 : support monitor function only for remote HMIs (when ON),Local HMI,LB,9197,,16-bit Unsigned,Supported
LB-9198 : disable local HMI to trigger a macro (when ON),Local HMI,LB,9198,,16-bit Unsigned,Supported
LB-9199 : disable remote HMI to trigger a macro (when ON),Local HMI,LB,9199,,16-bit Unsigned,Supported
"LB-9200 : device 1 status (SN0, COM 1), set on to retry connection",Local HMI,LB,9200,,16-bit Unsigned,Supported
"LB-9201 : device 1 status (SN1, COM 1), set on to retry connection",Local HMI,LB,9201,,16-bit Unsigned,Supported
"LB-9202 : device 1 status (SN2, COM 1), set on to retry connection",Local HMI,LB,9202,,16-bit Unsigned,Supported
"LB-9203 : device 1 status (SN3, COM 1), set on to retry connection",Local HMI,LB,9203,,16-bit Unsigned,Supported
